depth [m],acid [mol/L],conductivity [S/m],sscl [mol/L]
76.548,2.0828955630247e-06,5.14599562687155e-06,5.14343192692475e-07
76.677,2.58709801425107e-06,6.00128844592745e-06,6.64338842975207e-07
76.806,4.34194006345817e-06,8.83329240424032e-06,5.53362331448456e-07
76.934,3.13531075291288e-06,6.87925672213991e-06,5.92888212266203e-07
77.062,2.75411528848112e-06,6.22089433532282e-06,4.216093953893e-07
77.19,2.39320031876522e-06,5.68910567702567e-06,6.64338842975207e-07
77.318,2.91332489935956e-06,6.54397531088935e-06,6.95756850804698e-07
77.446,4.15015592643957e-06,8.48471400852576e-06,3.67387994780339e-07
77.702,1.93105356693091e-06,4.90887725785691e-06,5.28025228360157e-07
77.83,2.26596253601356e-06,5.41022049720671e-06,3.2938234014789e-07
77.958,2.26042353909492e-06,5.39902868808817e-06,3.16207046541975e-07
78.086,2.02418730866965e-06,5.02458333699782e-06,3.58773379730318e-07
78.213,2.24534532515092e-06,5.36276875505655e-06,2.57424967377121e-07
78.34,8.79286003303611e-06,1.60940669752668e-05,5.24478033927795e-07
78.467,7.53038741871218e-06,1.40464281443367e-05,5.59949978251414e-07
78.594,2.52279393953837e-06,5.92704279318124e-06,7.41363636363636e-07
78.721,1.9586796824926e-06,4.90764100009072e-06,2.96950848194867e-07
78.848,2.25161769324337e-06,5.43568973296711e-06,5.16370160939539e-07
78.975,2.09045264844378e-06,5.152255640089e-06,4.216093953893e-07
79.229,2.43092260581116e-06,5.74670740910244e-06,5.87732914171847e-07
79.356,2.86502204993382e-06,6.45476230739668e-06,5.84273597216181e-07
79.483,2.24748370433163e-06,5.44587210180536e-06,5.73125271857329e-07
79.61,1.83916040373417e-06,4.9845157050223e-06,1.47259243149195e-06
79.736,2.15929727496944e-06,5.32453107513739e-06,6.65352327098739e-07
79.862,1.95672350475e-06,4.95688363997388e-06,4.98127446715963e-07
79.988,2.38274934296608e-06,5.70767480139555e-06,7.40010899497252e-07
80.24,2.40954426207719e-06,5.6998172392194e-06,5.05221835580687e-07
80.366,1.86600526528407e-06,4.89276314585138e-06,8.54873858199217e-07
80.492,1.71975990926724e-06,4.58131641622178e-06,5.31065680730752e-07
80.618,2.17367383552919e-06,5.28837425671268e-06,3.78029578077425e-07
80.744,2.0867841357395e-06,5.16534762032236e-06,4.57588081774685e-07
80.87,3.08438404096969e-06,6.80031198449992e-06,4.80391474554154e-07
80.996,2.83388871275611e-06,6.36365137436305e-06,3.5471944323619e-07
81.121,2.64663137998452e-06,6.04869798474499e-06,3.10632883862549e-07
81.246,2.41291564088137e-06,5.75292424338808e-06,6.85622009569378e-07
81.371,2.34155347796915e-06,5.66582429636508e-06,8.11800782949108e-07
81.496,2.50681027518536e-06,5.866108772829e-06,5.01167899086559e-07
81.621,2.203489522069e-06,5.36444879669085e-06,4.707633753806e-07
81.746,2.24562886658239e-06,5.41626426742318e-06,3.92218355806873e-07
81.871,2.25568417249112e-06,5.47342913360654e-06,5.68057851239669e-07
81.996,2.68923942702589e-06,6.16994572314382e-06,5.11302740321879e-07
82.121,2.59500554187954e-06,5.98317709080421e-06,3.63334058286211e-07
82.246,2.45013309964486e-06,5.75572362349085e-06,4.00832970856894e-07
82.371,1.88706499920689e-06,4.85868045596176e-06,5.00661157024793e-07
82.496,1.98088555658098e-06,5.01052205484728e-06,4.90526315789474e-07
82.62,2.53689200185391e-06,5.90434447994856e-06,4.19582427142236e-07
82.744,2.40303049437671e-06,5.73590442999283e-06,6.37988255763375e-07
82.992,1.82541710654865e-06,4.88028499335112e-06,1.02311222270552e-06
83.116,1.85821820500822e-06,4.80658779910164e-06,4.59615050021749e-07
83.488,2.63549095101402e-06,6.13817351458221e-06,7.12479338842975e-07
83.612,2.2660321063623e-06,5.46803631399326e-06,4.20595911265768e-07
83.736,2.27914680826713e-06,5.49214242728796e-06,4.28703784254024e-07
83.86,1.98428100681573e-06,5.06296693856219e-06,6.60284906481079e-07
83.984,2.64658876019037e-06,6.06020449966608e-06,2.74654197477164e-07
84.108,2.88332251482449e-06,6.50719513630561e-06,5.32079164854284e-07
84.232,2.71688123547276e-06,6.22923610132595e-06,5.04208351457155e-07
84.355,2.47166311446176e-06,5.83755399172551e-06,5.43734232274902e-07
84.478,2.33938313693505e-06,5.59142653603234e-06,4.10461070030448e-07
84.59,2.46177411462654e-06,5.81325230745162e-06,5.01167899086559e-07
84.724,2.20365718390818e-06,5.34084751193706e-06,2.79214876033058e-07
84.847,2.20117476825229e-06,5.44852106501491e-06,7.66700739451936e-07
84.97,2.8218731055744e-06,6.47138755430689e-06,7.89504132231405e-07
85.12,2.1165532000631e-06,5.36607523670699e-06,1.00588299260548e-06
85.216,2.3126828830317e-06,5.5893040591154e-06,5.72111787733797e-07
85.339,2.43589782551012e-06,5.85791542955784e-06,8.61461505002175e-07
85.462,2.65383609386485e-06,6.14623226465462e-06,5.5538929969552e-07
85.585,2.8195893832291e-06,6.45247614622548e-06,7.03357981731188e-07
85.708,2.27602238528126e-06,5.50876205062058e-06,4.6822966507177e-07
85.831,2.01733020591368e-06,5.20815461111769e-06,1.00689647672901e-06
85.954,2.31071863760774e-06,5.55846798296566e-06,4.29717268377555e-07
86.077,2.10357209828101e-06,5.35306375792144e-06,1.01551109177903e-06
86.2,2.3353174131776e-06,5.55722679703832e-06,2.40195737277077e-07
86.49,2.33010067893442e-06,5.52191801985947e-06,1.14523705959113e-07
86.57,2.3744977196308e-06,5.6643314509592e-06,4.17555458895172e-07
86.688,2.32620202162281e-06,5.55353734993669e-06,2.75667681600696e-07
86.81,1.99742215750869e-06,5.07378646822377e-06,5.33985137705403e-07
86.932,1.72946896033264e-06,4.72615241619431e-06,9.34432361896477e-07
87.054,1.39970820856222e-06,4.30252804952266e-06,1.44674858634189e-06
87.176,2.35678345754056e-06,5.61846052216929e-06,3.26341887777295e-07
87.298,1.85993783319217e-06,4.96330068449706e-06,1.02592420157574e-06
87.42,1.91829865824261e-06,5.03619696242696e-06,9.22270552414093e-07
87.542,2.11576754804435e-06,5.20381378187645e-06,2.32594606350587e-07
87.664,2.05252265175172e-06,5.18835531380747e-06,6.16705089169204e-07
87.786,2.0512869944815e-06,5.14558424975584e-06,4.34784688995215e-07
87.908,2.09386298889441e-06,5.21637077922694e-06,4.35291431056981e-07
88.03,1.95874069556108e-06,5.05048830062669e-06,6.77514136581122e-07
88.128,2.12782244000078e-06,5.27779928524088e-06,4.54040887342323e-07
88.273,2.36896931658535e-06,5.67575103680746e-06,4.58094823836451e-07
88.394,2.61549341802486e-06,6.07193764537911e-06,4.16035232709874e-07
88.515,2.39492140934247e-06,5.85913501384513e-06,1.06770552414093e-06
88.636,2.20578357357189e-06,5.51100650959208e-06,9.00480643758156e-07
88.757,2.41129775962862e-06,5.73312275205734e-06,3.90698129621575e-07
88.878,2.36891965206974e-06,5.65942443230806e-06,3.69414963027403e-07
88.999,2.14776853182908e-06,5.2918844463381e-06,3.48131796433232e-07
89.12,2.07454044915505e-06,5.20259848761685e-06,4.8089821661592e-07
89.241,2.08760704774792e-06,5.27575425725359e-06,7.03864723792954e-07
