depth [m],acid [mol/L],conductivity [S/m],sscl [mol/L]
708.6119,9.32133439352738e-07,6.78244945913447e-06,5.34428816526664e-07
708.6378,5.36462455920786e-07,5.99194723909289e-06,1.0122678852829e-06
708.6637,8.6022447670346e-07,7.1295793184405e-06,2.12633146871401e-06
708.6896,0,4.91644194064664e-06,1.64873185693481e-06
708.7155,3.21450016477513e-07,5.20780552614194e-06,1.84606034867736e-07
708.7414,5.58418628086901e-07,5.75691008318849e-06,1.30475275406992e-07
708.7673,8.14403267424988e-07,6.37104900763362e-06,1.36307867974382e-07
708.7932,1.13515608206978e-06,7.16147715564272e-06,2.07714779999411e-07
708.8191,9.13377762087915e-07,6.80586191038216e-06,7.43784834396796e-07
708.845,3.72070948852901e-07,5.62993639677356e-06,1.10783264042135e-06
708.8709,7.13433691993429e-07,6.24744507985895e-06,4.97809311048398e-07
708.8968,5.81380434517859e-07,6.1283972079599e-06,1.101259626523e-06
708.9227,4.82956714241754e-07,5.68755094819857e-06,4.71241363860406e-07
708.9486,3.53143809330454e-07,5.37484872422355e-06,4.64404515353304e-07
708.976,1.61202998814944e-06,8.61336955875647e-06,1.16251128127982e-06
709.0016,6.76307757878346e-07,6.19488873726773e-06,6.08934446658525e-07
709.0257,1.58404459914085e-06,8.26365417923594e-06,2.95336149723693e-07
709.0498,9.43800750625632e-07,6.92161559693277e-06,8.75620621015282e-07
709.0739,6.2634163587877e-07,6.12867703768679e-06,7.72358324537771e-07
709.098,3.22877440525876e-07,5.51957099994125e-06,1.13018927635597e-06
709.1221,4.35996022320481e-07,5.60726031500809e-06,5.69448368606758e-07
709.1462,2.95706866232541e-07,5.35478052270608e-06,8.24124244423157e-07
709.1703,1.06201160138514e-06,7.21477857512147e-06,9.07631964127501e-07
709.1944,1.31636325264305e-06,7.65951140451652e-06,4.05944791260937e-07
709.2185,1.64031017103393e-06,8.41389340712074e-06,3.43386921881764e-07
709.2426,1.40749618917135e-06,7.7914591781168e-06,1.42175348823205e-07
709.2667,1.29176311229659e-06,7.55525275580458e-06,2.66652829971671e-07
